_id,FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_UNDERLYING_VALUE,TIMESTAMP
642f0865e2684b2e0147ee49,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1910.0,1927.9,1905.75,1912.65,1911.75,1906.2,1912.65,163800,314266155.0,651000,41700.0,300,03-Jan-2022,1898.45,2022-01-02T18:30:00.000Z
642f0a63e2684b2e01e349e9,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1906.25,1917.55,1891.8,1913.0,1912.65,1912.65,1913.0,199500,379499820.0,692400,41400.0,300,04-Jan-2022,1899.15,2022-01-03T18:30:00.000Z
642f09f0e2684b2e01c17dcb,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1897.9,1897.95,1854.0,1858.2,1859.95,1913.0,1858.2,463500,865975575.0,805800,113400.0,300,05-Jan-2022,1844.65,2022-01-04T18:30:00.000Z
642f0af8e2684b2e010fc4b9,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1833.5,1840.0,1813.0,1830.9,1831.4,1858.2,1830.9,457800,835703280.0,934200,128400.0,300,06-Jan-2022,1817.8,2022-01-05T18:30:00.000Z
642f0afce2684b2e0110e09b,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1820.0,1848.9,1820.0,1829.5,1829.5,1830.9,1829.5,424500,778307445.0,1070100,135900.0,300,07-Jan-2022,1814.3,2022-01-06T18:30:00.000Z
642f0930e2684b2e0186faa5,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1828.35,1882.0,1825.4,1860.65,1861.0,1829.5,1860.65,1359900,2534584650.0,1717200,647100.0,300,10-Jan-2022,1850.75,2022-01-09T18:30:00.000Z
642f0989e2684b2e01a2cd95,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1893.55,1893.55,1862.0,1869.95,1875.15,1860.65,1869.95,275400,515985060.0,1738500,21300.0,300,11-Jan-2022,1855.6,2022-01-10T18:30:00.000Z
642f098ce2684b2e01a3de73,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1883.85,1898.0,1870.5,1889.25,1887.65,1869.95,1889.25,760800,1434729720.0,2107500,369000.0,300,12-Jan-2022,1877.45,2022-01-11T18:30:00.000Z
642f0affe2684b2e01119c88,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1906.9,1919.0,1875.0,1902.95,1902.25,1889.25,1902.95,1211700,2301430755.0,2287200,179700.0,300,13-Jan-2022,1896.8,2022-01-12T18:30:00.000Z
642f0935e2684b2e0188b208,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1895.55,1944.7,1891.85,1937.65,1934.6,1902.95,1937.65,1994400,3849524715.0,3226800,939600.0,300,14-Jan-2022,1929.35,2022-01-13T18:30:00.000Z
642f0937e2684b2e01895d31,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1955.8,1959.6,1937.85,1946.1,1946.0,1937.65,1946.1,943500,1838716590.0,3431400,204600.0,300,17-Jan-2022,1939.5,2022-01-16T18:30:00.000Z
642f0869e2684b2e014922e0,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1939.6,1953.1,1917.8,1927.15,1926.0,1946.1,1927.15,943500,1820415510.0,3784500,353100.0,300,18-Jan-2022,1920.75,2022-01-17T18:30:00.000Z
642f0a69e2684b2e01e506c7,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1925.35,1925.35,1876.0,1878.9,1878.3,1927.15,1878.9,1964700,3710929770.0,4964100,1179600.0,300,19-Jan-2022,1867.05,2022-01-18T18:30:00.000Z
642f0992e2684b2e01a5a125,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1858.25,1858.25,1821.5,1831.5,1830.35,1878.9,1831.5,4933800,9058538970.0,8309100,3345000.0,300,20-Jan-2022,1823.7,2022-01-19T18:30:00.000Z
642f086de2684b2e014aa84a,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1803.95,1813.2,1779.85,1789.15,1790.05,1831.5,1789.15,5945400,10662276405.0,12305400,3996300.0,300,21-Jan-2022,1785.7,2022-01-20T18:30:00.000Z
642f0b04e2684b2e0112daee,FUTSTK,INFY,24-Feb-2022,0.0,XX,N,1774.0,1776.75,1730.6,1739.55,1736.15,1789.15,1739.55,14321100,25058812785.0,23055600,10750200.0,300,24-Jan-2022,1736.8,2022-01-23T18:30:00.000Z
