Symbol,Current Entry Date,Next Entry Date,Upper,Lower,Entry Difference,Type,Current Month Entry,Next Month Entry,Lot,Exit Current Date,Exit Next Date,Exit Difference,Current Month Exit,Next Month Exit,PNL
LT,30-Jun-23,30-Jun-23,24.62,-1.54,-7.55,Long,2486.15,2478.6,300,24-Jul-23,24-Jul-23,-1.4,2608.65,2607.25,1345
LT,26-Jul-23,26-Jul-23,29.96,-8.98,-9.9,Long,2649.9,2640,300,27-Jul-23,27-Jul-23,-8.35,2661.7,2653.35,-35
M&M,26-May-23,26-May-23,11.25,3.27,-7.9,Long,1286.3,1278.4,700,30-Jun-23,30-Jun-23,8.6,1444.1,1452.7,11050
MARUTI,30-Jun-23,30-Jun-23,78.72,28.14,-25.5,Long,9858.8,9833.3,100,27-Jul-23,27-Jul-23,5.95,9733.65,9739.6,2645
NTPC,30-Jun-23,30-Jun-23,2.4,-0.78,-1.35,Long,190,188.65,3000,27-Jul-23,27-Jul-23,-1,201.45,200.45,550
NESTLEIND,14-Oct-22,14-Oct-22,146.41,-63.83,-65.4,Long,18929.35,18863.95,40,17-Oct-22,17-Oct-22,-53.15,18949.25,18896.1,-10
ONGC,26-Dec-23,26-Dec-23,1.84,0.34,1.95,Short,207,208.95,3850,28-Dec-23,28-Dec-23,2.05,207.8,209.85,-885
ONGC,29-Dec-23,29-Dec-23,1.89,0.33,-0.5,Long,206.3,205.8,3850,09-Jan-24,09-Jan-24,0.8,217.3,218.1,4505
POWERGRID,20-Oct-23,20-Oct-23,3.19,-0.77,-1.2,Long,203.2,202,3600,26-Oct-23,26-Oct-23,-1.55,198.95,197.4,-1760
POWERGRID,29-Dec-23,29-Dec-23,3.01,-0.35,-1.7,Long,238.8,237.1,3600,20-Jan-24,20-Jan-24,-0.3,237.35,237.05,4540
RELIANCE,06-Jul-23,06-Jul-23,21.94,8.38,5,Long,2641.65,2646.65,250,20-Jul-23,20-Jul-23,10.4,2625.6,2636,850
SBILIFE,01-Mar-23,01-Mar-23,11.3,0.02,-2.05,Long,1127.05,1125,750,02-Mar-23,02-Mar-23,7.6,1106.75,1114.35,6737.5
SBILIFE,12-Jul-23,12-Jul-23,11.34,2.16,11.5,Short,1306.15,1317.65,750,13-Jul-23,13-Jul-23,7.95,1316.75,1324.7,2162.5
SBILIFE,27-Dec-23,27-Dec-23,12.68,3.32,12.95,Short,1419,1431.95,750,28-Dec-23,28-Dec-23,12.05,1432.05,1444.1,175
SBILIFE,01-Jan-24,01-Jan-24,12.6,3.66,13.25,Short,1444.05,1457.3,750,02-Jan-24,02-Jan-24,10.95,1445.5,1456.45,1225
SBILIFE,02-Mar-24,02-Mar-24,13.51,4.21,14.25,Short,1555.75,1570,750,04-Mar-24,04-Mar-24,11.05,1525.3,1536.35,1900
SBIN,28-Apr-23,28-Apr-23,4.9,0.16,-1.95,Long,575.95,574,1500,25-May-23,25-May-23,-6.45,580.95,574.5,-7250
SBIN,01-Apr-24,01-Apr-24,6.71,1.85,1.05,Long,761.7,762.75,1500,04-Apr-24,04-Apr-24,2.2,763.35,765.55,1225
SUNPHARMA,22-Nov-22,22-Nov-22,7.95,-1.29,8.2,Short,1011.15,1019.35,700,24-Nov-22,24-Nov-22,7.05,1034.9,1041.95,305
SUNPHARMA,30-Nov-22,30-Nov-22,8.47,-1.55,8.6,Short,1051.8,1060.4,700,01-Dec-22,01-Dec-22,6.75,1052.1,1058.85,795
SUNPHARMA,03-Jan-23,03-Jan-23,9.86,-2.26,-2.4,Long,1013.7,1011.3,700,04-Jan-23,04-Jan-23,-2.05,1008.25,1006.2,-255
SUNPHARMA,19-Dec-23,19-Dec-23,10.59,2.43,10.7,Short,1247.1,1257.8,700,20-Dec-23,20-Dec-23,10.4,1233.7,1244.1,-290
SUNPHARMA,27-Dec-23,27-Dec-23,10.95,2.31,11.7,Short,1249.6,1261.3,700,28-Dec-23,28-Dec-23,9,1260.55,1269.55,1390
SUNPHARMA,02-Jan-24,02-Jan-24,11.3,2.06,2.05,Long,1301.35,1303.4,700,03-Jan-24,03-Jan-24,2.25,1303.35,1305.6,-360
SUNPHARMA,04-Jan-24,04-Jan-24,11.41,1.87,1.75,Long,1318,1319.75,700,05-Jan-24,05-Jan-24,2.8,1303.9,1306.7,235
TCS,02-May-23,02-May-23,29.95,2.53,1.75,Long,3237.95,3239.7,175,25-May-23,25-May-23,5.45,3286.55,3292,147.5
TATACONSUM,26-Apr-23,26-Apr-23,6.82,1.3,-3.8,Long,745.75,741.95,900,27-Apr-23,27-Apr-23,-2.45,752.5,750.05,715
TATACONSUM,26-Dec-23,26-Dec-23,8.36,1.22,8.9,Short,1009.45,1018.35,900,28-Dec-23,28-Dec-23,7.05,1037.05,1044.1,1165
TATACONSUM,23-Jan-24,23-Jan-24,8.77,1.03,0.3,Long,1144.55,1144.85,900,25-Jan-24,25-Jan-24,4,1138.5,1142.5,2830
TATACONSUM,11-Mar-24,11-Mar-24,8.39,1.91,8.45,Short,1224,1232.45,900,12-Mar-24,12-Mar-24,8.15,1220.8,1228.95,-230
TATACONSUM,13-Mar-24,13-Mar-24,8.5,1.84,9.7,Short,1182.5,1192.2,900,15-Mar-24,15-Mar-24,7.5,1215.05,1222.55,1480
TATACONSUM,18-Mar-24,18-Mar-24,8.83,1.63,9.85,Short,1188.9,1198.75,900,20-Mar-24,20-Mar-24,8.55,1127.35,1135.9,670
TATACONSUM,02-Apr-24,02-Apr-24,9.44,1.4,1.1,Long,1136.65,1137.75,900,03-Apr-24,03-Apr-24,1.75,1124.9,1126.65,85
TATAMOTORS,11-Oct-22,11-Oct-22,3.22,-0.2,-0.85,Long,389.5,388.65,1425,27-Oct-22,27-Oct-22,2.1,407.5,409.6,3703.75
TATAMOTORS,27-Dec-23,27-Dec-23,6.54,0.78,7.05,Short,739.4,746.45,1425,28-Dec-23,28-Dec-23,6.85,752,758.85,-215
TATAMOTORS,02-Jan-24,02-Jan-24,6.86,0.62,7.35,Short,788.35,795.7,1425,03-Jan-24,03-Jan-24,6.55,784.5,791.05,640
TATASTEEL,02-May-23,02-May-23,1.02,0.24,-0.2,Long,111.05,110.85,5500,03-May-23,03-May-23,0.7,110.35,111.05,4450
TATASTEEL,26-Dec-23,26-Dec-23,1.15,0.37,1.25,Short,135.2,136.45,5500,28-Dec-23,28-Dec-23,1.35,137.9,139.25,-1050
TECHM,29-Sep-23,29-Sep-23,10.05,4.65,-6.3,Long,1227.25,1220.95,600,26-Oct-23,26-Oct-23,-6.35,1113.45,1107.1,-530
TITAN,30-May-23,30-May-23,22.23,6.39,5.8,Long,2819.4,2825.2,375,05-Jun-23,05-Jun-23,7.1,2867.8,2874.9,-12.5
TITAN,15-Dec-23,15-Dec-23,31.71,2.73,34.95,Short,3619.25,3654.2,375,18-Dec-23,18-Dec-23,25.9,3635,3660.9,2893.75
TITAN,27-Dec-23,27-Dec-23,33.48,1.86,34.45,Short,3687.9,3722.35,375,28-Dec-23,28-Dec-23,31.1,3712.4,3743.5,756.25
UPL,26-May-23,26-May-23,6.66,1.98,-2.9,Long,690.7,687.8,1300,20-Jun-23,20-Jun-23,2.55,685.85,688.4,6585
UPL,30-Jun-23,30-Jun-23,9.2,-1.54,-2.9,Long,688.2,685.3,1300,27-Jul-23,27-Jul-23,-3,625.3,622.3,-630
ULTRACEMCO,24-Jan-24,24-Jan-24,78.5,14.06,8.1,Long,10016.3,10024.4,100,25-Jan-24,25-Jan-24,45.1,9979.2,10024.3,3200
WIPRO,28-Apr-23,28-Apr-23,3.2,0.68,0.5,Long,386.4,386.9,1500,17-May-23,17-May-23,0.85,383.15,384,25
WIPRO,27-Jun-23,27-Jun-23,3.81,-0.39,-1.2,Long,383.35,382.15,1500,30-Jun-23,30-Jun-23,2.15,391.7,393.85,4525
WIPRO,01-Jan-24,01-Jan-24,4.44,-0.54,4.55,Short,479.9,484.45,1500,02-Jan-24,02-Jan-24,4.15,470.35,474.5,100
