Entry Date,Upper,Lower,Entry Difference,Type,Current Month Entry,Next Month Entry,Exit Date,Exit Difference,Current Month Exit,Next Month Exit,PNL
15-Nov-10,37.879999999999995,-26.319999999999993,38.350000000000364,Short,6140.25,6178.6,16-Nov-10,32.19999999999982,5994.95,6027.15,-192.49999999997272
25-Nov-10,41.68,-27.979999999999997,48.100000000000364,Short,5800.0,5848.1,26-Nov-10,23.600000000000364,5778.15,5801.75,725.0
26-May-11,47.870000000000005,-9.489999999999998,-11.5,Long,5402.15,5390.65,27-May-11,9.949999999999818,5466.35,5476.3,572.4999999999909
25-Oct-11,35.41,-3.349999999999998,47.19999999999982,Short,5181.95,5229.15,26-Oct-11,17.899999999999636,5232.05,5249.95,965.0000000000091
21-Feb-12,38.68,-4.579999999999998,41.55000000000018,Short,5622.15,5663.7,23-Feb-12,50.75,5488.25,5539.0,-959.9999999999909
28-Mar-12,49.61,-7.629999999999999,49.75,Short,5197.4,5247.15,29-Mar-12,55.600000000000364,5177.0,5232.6,-792.5000000000182
27-Dec-12,55.42,1.0,56.100000000000364,Short,5874.2,5930.3,28-Dec-12,35.899999999999636,5954.55,5990.45,510.0000000000364
26-Apr-13,50.92,10.66,9.75,Long,5887.75,5897.5,29-Apr-13,10.949999999999818,5918.2,5929.15,-440.0000000000091
02-May-13,51.92,9.14,6.950000000000728,Long,6007.4,6014.35,21-May-13,10.400000000000546,6116.9,6127.3,-327.5000000000091
26-Sep-13,62.17,-7.670000000000002,63.44999999999982,Short,5883.85,5947.3,27-Sep-13,38.900000000000546,5888.15,5927.05,727.4999999999636
25-Sep-14,66.82,9.04,69.55000000000018,Short,7902.25,7971.8,26-Sep-14,48.75,8031.9,8080.65,540.0000000000091
24-Dec-14,74.75999999999999,6.600000000000001,94.54999999999927,Short,8182.75,8277.3,26-Dec-14,52.29999999999927,8273.75,8326.05,1612.5
26-Mar-15,84.3,12.659999999999997,113.64999999999964,Short,8342.1,8455.75,27-Mar-15,53.899999999999636,8434.9,8488.8,2487.5
28-May-15,89.97,9.930000000000007,1.5499999999992724,Long,8317.0,8318.55,29-May-15,34.0,8458.65,8492.65,1122.5000000000364
28-Apr-17,63.669999999999995,7.149999999999999,-2.8000000000010914,Long,9333.7,9330.9,24-May-17,8.299999999999272,9364.85,9373.15,55.00000000001819
25-May-17,72.85,-8.990000000000002,-14.200000000000728,Long,9510.1,9495.9,26-May-17,14.150000000001455,9575.8,9589.95,917.5000000001091
27-Apr-18,50.92,10.780000000000001,6.100000000000364,Long,10723.8,10729.9,03-May-18,12.950000000000728,10706.5,10719.45,-157.4999999999818
31-May-18,55.19,0.9500000000000028,-24.850000000000364,Long,10727.0,10702.15,01-Jun-18,14.100000000000364,10683.9,10698.0,1447.5000000000364
28-Jun-18,58.59,-6.629999999999999,-19.299999999999272,Long,10590.4,10571.1,29-Jun-18,17.100000000000364,10694.8,10711.9,1319.9999999999818
27-Mar-19,77.12,-5.919999999999995,79.60000000000036,Short,11458.1,11537.7,28-Mar-19,94.14999999999964,11569.45,11663.6,-1227.4999999999636
24-Apr-19,84.19,-2.6300000000000026,88.70000000000073,Short,11738.25,11826.95,25-Apr-19,78.35000000000036,11652.5,11730.85,17.50000000001819
30-Jan-20,76.16999999999999,17.07,16.399999999999636,Long,12043.5,12059.9,31-Jan-20,42.0,11994.3,12036.3,780.0000000000182
17-Feb-20,70.89,17.069999999999993,13.049999999999272,Long,12074.45,12087.5,27-Feb-20,-2.2000000000007276,11631.45,11629.25,-1262.5
18-Mar-20,77.03,8.330000000000005,1.1499999999996362,Long,8433.7,8434.85,20-Mar-20,31.299999999999272,8723.1,8754.4,1007.4999999999818
24-Mar-20,78.62,5.780000000000001,3.9000000000005457,Long,7849.9,7853.8,25-Mar-20,44.25,8362.2,8406.45,1517.4999999999745
30-Apr-20,80.64,-0.9599999999999937,-11.549999999999272,Long,9842.4,9830.85,04-May-20,24.55000000000109,9285.9,9310.45,1305.0000000000182
28-May-20,83.5,-12.14,-56.0,Long,9483.95,9427.95,29-May-20,-7.899999999999636,9494.1,9486.2,1905.0000000000182
25-Jun-20,93.72,-34.2,-50.850000000000364,Long,10296.5,10245.65,26-Jun-20,-2.600000000000364,10318.0,10315.4,1912.5
05-Mar-21,79.32,-41.58,80.0,Short,14953.05,15033.05,08-Mar-21,79.04999999999927,14969.0,15048.05,-452.4999999999636
23-Mar-21,90.17,-43.269999999999996,91.25,Short,14832.9,14924.15,25-Mar-21,101.44999999999891,14334.1,14435.55,-1009.9999999999454
28-Apr-22,81.4,7.300000000000004,4.149999999997817,Long,17256.2,17260.35,29-Apr-22,28.450000000000728,17135.25,17163.7,715.0000000001455
05-May-22,82.71000000000001,5.07,4.900000000001455,Long,16694.3,16699.2,06-May-22,12.649999999997817,16419.4,16432.05,-112.5000000001819
13-May-22,85.72,0.1599999999999966,-0.6000000000003638,Long,15786.6,15786.0,16-May-22,1.3500000000003638,15842.6,15843.95,-402.4999999999636
30-Jun-22,95.3,-17.200000000000003,-42.0,Long,15786.35,15744.35,01-Jul-22,34.100000000000364,15754.25,15788.35,3305.000000000018
