_id,FH_EXPIRY_DT,FH_INSTRUMENT,FH_OPTION_TYPE,FH_STRIKE_PRICE,FH_SYMBOL,TIMESTAMP,FH_CHANGE_IN_OI,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_MARKET_LOT,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_OPEN_INT,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TIMESTAMP,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_UNDERLYING_VALUE
660aba2a3bf21372dab3728f,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-03-31T18:30:00.000Z,2375.00,6332.55,6330.50,125,N,6243.45,8625,6243.45,6332.55,01-Apr-2024,8750,55150568.75,6353.20,6243.45,6250.35
660c07333bf21372daeb19a8,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-01T18:30:00.000Z,1500.00,6310.20,6314.80,125,N,6295.00,10125,6332.55,6310.20,02-Apr-2024,5250,33083356.25,6325.00,6280.00,5957.15
660d68e13bf21372da279628,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-02T18:30:00.000Z,3625.00,6205.85,6207.20,125,N,6301.60,13750,6310.20,6205.85,03-Apr-2024,7125,44453393.75,6301.60,6200.05,6124.4
660eae303bf21372da5e8525,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-03T18:30:00.000Z,2125.00,6203.75,6210.15,125,N,6211.00,15875,6205.85,6203.75,04-Apr-2024,11000,68045593.75,6231.95,6124.00,6142.5
661001ec3bf21372da96cebc,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-04T18:30:00.000Z,3875.00,6255.50,6252.15,125,N,6211.00,19750,6203.75,6255.50,05-Apr-2024,21750,136913225.00,6360.50,6203.65,6142.5
6613f59b3bf21372da176c73,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-07T18:30:00.000Z,2250.00,6245.00,6240.10,125,N,6278.70,22000,6255.50,6245.00,08-Apr-2024,10375,64787462.50,6281.65,6198.85,6174.55
66153ccb3bf21372da4deaac,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-08T18:30:00.000Z,7000.00,6244.25,6245.75,125,N,6298.90,29000,6245.00,6244.25,09-Apr-2024,18625,116414956.25,6298.90,6225.00,6174.55
661698db3bf21372da8bbf5d,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-09T18:30:00.000Z,5000.00,6213.10,6210.30,125,N,6237.60,34000,6244.25,6213.10,10-Apr-2024,10875,67673525.00,6237.60,6209.00,6157.9
66192d553bf21372daff667e,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-11T18:30:00.000Z,13500.00,6150.60,6161.95,125,N,6193.75,47500,6213.10,6150.60,12-Apr-2024,45750,282612137.50,6247.10,6145.60,5957.15
661d3afebecf36cc7531c8a1,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-14T18:30:00.000Z,54000.00,6063.30,6068.95,125,N,6139.00,101500,6150.60,6063.30,15-Apr-2024,97000,589253012.50,6139.05,6051.00,6010.85
661e7aa1becf36cc7567f632,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-15T18:30:00.000Z,20250.00,6091.25,6081.30,125,N,6051.10,121750,6063.30,6091.25,16-Apr-2024,78625,476727031.25,6108.60,6016.95,6050.35
66211e73becf36cc75d2c565,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-17T18:30:00.000Z,139125.00,5993.15,6007.00,125,N,6114.40,260875,6091.25,5993.15,18-Apr-2024,328625,1992013600.00,6155.45,5971.50,5957.15
66226d2fbecf36cc750a1e44,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-18T18:30:00.000Z,178625.00,5967.05,5960.65,125,N,5977.00,439500,5993.15,5967.05,19-Apr-2024,285000,1698852037.50,6009.70,5902.05,5942.85
66266918becf36cc757ff2e8,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-21T18:30:00.000Z,448500.00,6036.40,6050.95,125,N,5991.45,888000,5967.05,6036.40,22-Apr-2024,852375,5154629262.50,6080.70,5991.45,6016.1
6627c54dbecf36cc75ac4914,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-22T18:30:00.000Z,365625.00,5996.40,5989.95,125,N,6054.50,1253625,6036.40,5996.40,23-Apr-2024,739125,4453177931.25,6075.90,5980.00,5952.1
662917aebecf36cc75d897df,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-23T18:30:00.000Z,330500.00,5998.50,6006.40,125,N,5995.25,1584125,5996.40,5998.50,24-Apr-2024,817625,4915273012.50,6044.65,5955.05,5950.8
662a706cbecf36cc7504fac0,30-May-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-24T18:30:00.000Z,367500.00,6240.95,6252.05,125,N,5973.10,1951625,5998.50,6240.95,25-Apr-2024,1944625,11944799825.00,6294.50,5965.00,6218.75
662bb0d1936df74c75f2960b,27-Jun-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-25T18:30:00.000Z,1500.00,6344.50,6360.75,125,N,6287.90,11000,6276.30,6344.50,26-Apr-2024,13875,87755462.50,6387.10,6246.15,6252.1
662faae7936df74c75402102,27-Jun-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-28T18:30:00.000Z,2875.00,6368.25,6364.15,125,N,6342.45,13875,6344.50,6368.25,29-Apr-2024,9625,61159268.75,6400.00,6303.35,6297.1
6630f740936df74c755f06d5,27-Jun-2024,FUTSTK,XX,0.00,DRREDDY,2024-04-29T18:30:00.000Z,2375.00,6253.65,6242.00,125,N,6368.25,16250,6368.25,6253.65,30-Apr-2024,13750,86543581.25,6372.25,6241.15,6204.3
66339606936df74c759b91c7,27-Jun-2024,FUTSTK,XX,0.00,DRREDDY,2024-05-01T18:30:00.000Z,1500.00,6340.85,6334.35,125,N,6274.55,17750,6253.65,6340.85,02-May-2024,9625,60673906.25,6350.00,6259.30,6287.5
6634df9c936df74c75bb9245,27-Jun-2024,FUTSTK,XX,0.00,DRREDDY,2024-05-02T18:30:00.000Z,5750.00,6390.75,6365.35,125,N,6317.40,23500,6340.85,6390.75,03-May-2024,32000,204972662.50,6464.00,6314.45,6349.55
6638e1b0936df74c75096fea,27-Jun-2024,FUTSTK,XX,0.00,DRREDDY,2024-05-05T18:30:00.000Z,5000.00,6334.80,6349.10,125,N,6390.40,28500,6390.75,6334.80,06-May-2024,29250,185526843.75,6396.90,6295.00,6293.45
663a2a4a936df74c7525ef90,27-Jun-2024,FUTSTK,XX,0.00,DRREDDY,2024-05-06T18:30:00.000Z,13375.00,6301.00,6301.00,125,N,6376.00,41875,6334.80,6301.00,07-May-2024,50375,316943281.25,6386.30,6244.00,6257.6
663c2440936df74c755133bf,27-Jun-2024,FUTSTK,XX,0.00,DRREDDY,2024-05-07T18:30:00.000Z,10500.00,6102.30,6103.20,125,N,6122.35,52375,6301.00,6102.30,08-May-2024,53250,323181293.75,6122.35,5997.00,6056.35
663cea0e936df74c7562c7fc,27-Jun-2024,FUTSTK,XX,0.00,DRREDDY,2024-05-08T18:30:00.000Z,12625.00,5941.25,5944.05,125,N,6097.00,65000,6102.30,5941.25,09-May-2024,41625,249373581.25,6097.05,5931.00,5877.35
