Symbol,Current Entry Date,Next Entry Date,Upper,Lower,Entry Difference,Type,Current Month Entry,Next Month Entry,Lot,Exit Current Date,Exit Next Date,Exit Difference,Current Month Exit,Next Month Exit,PNL
INDUSINDBK,16-May-2023,16-May-2023,9.940000000000001,2.62,-1.7999999999999545,Long,1221.0,1219.2,450,22-May-2023,22-May-2023,6.5499999999999545,1244.45,1251.0,3257.49999999996
INDUSINDBK,24-May-2023,24-May-2023,11.4,0.9000000000000004,-4.7999999999999545,Long,1271.95,1267.15,450,25-May-2023,25-May-2023,-8.5,1267.2,1258.7,-2165.0000000000205
INDUSINDBK,07-Nov-2023,07-Nov-2023,15.04,-0.6200000000000001,-1.3999999999998636,Long,1493.8,1492.4,500,22-Nov-2023,22-Nov-2023,4.75,1469.7,1474.45,2574.9999999999327
