Symbol,Current Entry Date,Next Entry Date,Upper,Lower,Entry Difference,Type,Current Month Entry,Next Month Entry,Lot,Exit Current Date,Exit Next Date,Exit Difference,Current Month Exit,Next Month Exit,PNL
HEROMOTOCO,29-May-2023,29-May-2023,32.36,-17.560000000000002,-17.850000000000364,Long,2790.55,2772.7,300,30-May-2023,30-May-2023,-15.599999999999909,2792.45,2776.85,175.00000000013642
HEROMOTOCO,29-Dec-2023,29-Dec-2023,49.36,-21.5,-31.050000000000182,Long,4166.95,4135.9,300,08-Jan-2024,08-Jan-2024,-20.5,4016.45,3995.95,2665.000000000058
HEROMOTOCO,17-Jan-2024,17-Jan-2024,57.94,-35.0,-40.850000000000364,Long,4373.0,4332.15,300,20-Jan-2024,20-Jan-2024,-25.0,4388.7,4363.7,4255.000000000109
