Symbol,Current Entry Date,Next Entry Date,Upper,Lower,Entry Difference,Type,Current Month Entry,Next Month Entry,Lot,Exit Current Date,Exit Next Date,Exit Difference,Current Month Exit,Next Month Exit,PNL
DRREDDY,26-May-2023,26-May-2023,49.47,-8.969999999999999,-10.200000000000728,Long,4562.6,4552.4,125,31-May-2023,31-May-2023,-8.199999999999818,4538.2,4530.0,-249.9999999998863
DRREDDY,01-Jun-2023,01-Jun-2023,51.43,-11.689999999999998,-11.850000000000364,Long,4584.85,4573.0,125,05-Jun-2023,05-Jun-2023,-9.25,4634.05,4624.8,-174.99999999995453
