Symbol,Current Entry Date,Next Entry Date,Upper,Lower,Entry Difference,Type,Current Month Entry,Next Month Entry,Lot,Exit Current Date,Exit Next Date,Exit Difference,Current Month Exit,Next Month Exit,PNL
TITAN,30-May-2023,30-May-2023,22.23,6.390000000000001,5.799999999999727,Long,2819.4,2825.2,375,05-Jun-2023,05-Jun-2023,7.099999999999909,2867.8,2874.9,-12.499999999930878
TITAN,15-Dec-2023,15-Dec-2023,31.71,2.7299999999999986,34.94999999999982,Short,3619.25,3654.2,375,18-Dec-2023,18-Dec-2023,25.90000000000009,3635.0,3660.9,2893.7499999998977
TITAN,27-Dec-2023,27-Dec-2023,33.480000000000004,1.860000000000003,34.44999999999982,Short,3687.9,3722.35,375,28-Dec-2023,28-Dec-2023,31.09999999999991,3712.4,3743.5,756.2499999999654
