Symbol,Current Entry Date,Next Entry Date,Upper,Lower,Entry Difference,Type,Current Month Entry,Next Month Entry,Lot,Exit Current Date,Exit Next Date,Exit Difference,Current Month Exit,Next Month Exit,PNL
SUNPHARMA,22-Nov-2022,22-Nov-2022,7.95,-1.29,8.200000000000045,Short,1011.15,1019.35,700,24-Nov-2022,24-Nov-2022,7.0499999999999545,1034.9,1041.95,305.00000000006366
SUNPHARMA,30-Nov-2022,30-Nov-2022,8.469999999999999,-1.5499999999999998,8.600000000000136,Short,1051.8,1060.4,700,01-Dec-2022,01-Dec-2022,6.75,1052.1,1058.85,795.0000000000955
SUNPHARMA,03-Jan-2023,03-Jan-2023,9.86,-2.2600000000000007,-2.400000000000091,Long,1013.7,1011.3,700,04-Jan-2023,04-Jan-2023,-2.0499999999999545,1008.25,1006.2,-254.9999999999045
SUNPHARMA,19-Dec-2023,19-Dec-2023,10.59,2.4299999999999997,10.700000000000045,Short,1247.1,1257.8,700,20-Dec-2023,20-Dec-2023,10.399999999999864,1233.7,1244.1,-289.99999999987267
SUNPHARMA,27-Dec-2023,27-Dec-2023,10.95,2.3099999999999996,11.700000000000045,Short,1249.6,1261.3,700,28-Dec-2023,28-Dec-2023,9.0,1260.55,1269.55,1390.0000000000318
SUNPHARMA,02-Jan-2024,02-Jan-2024,11.3,2.0599999999999996,2.050000000000182,Long,1301.35,1303.4,700,03-Jan-2024,03-Jan-2024,2.25,1303.35,1305.6,-360.00000000012733
SUNPHARMA,04-Jan-2024,04-Jan-2024,11.41,1.8699999999999992,1.75,Long,1318.0,1319.75,700,05-Jan-2024,05-Jan-2024,2.7999999999999545,1303.9,1306.7,234.99999999996908
